Contact ID,Candidate Name,Company,Email,Phone,Schools,Address,City,State,Zip,Links,Files,Sources,Created At (GMT),Archived At (GMT) ,Posting Title,Posting Team,Posting Level,Archive Reason,Current Stage,Hired,Start Date,Snoozed Until,Profile Archive Reason,Requisition For Hire ID,Requisition For Hire Requisition Code,App ID
4bae6d7b-92cf-4c59-9613-bc5089a25ba6,David Matthews,,davidmatthews@gmail.com,,,,,,,,23387174.pdf,Indeed,2019-09-11 17:37:46,2019-09-17 18:46:20,Software Engineer,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,7b0cbd7d-9867-41c9-b314-5678d7d73f62
1a15ab2c-6ef1-4df2-a8e3-ccb3472dda30,Cerys Erickson,"Amazon.com, Inc.",ceryserickson@gmail.com,(908) 789-0123,Willowbrook University,,,,,,23416654.pdf,LinkedIn,2019-09-12 03:56:50,2019-09-24 04:13:34,Software Engineer,Engineering,NYC,Withdrew,New lead,,,,Withdrew,,,1425b391-551b-49a2-8327-5be6e208cb2b
81336c33-b43b-418a-85a4-cfbce69c443c,Mya Stein,,myastein@gmail.com,,Evergreen Hills College,,,,,,23438112.pdf,LinkedIn,2019-09-12 22:11:27,2019-09-22 22:32:01,Software Engineer,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,66e7398d-d8a9-413d-8d72-8d3a4f5e64d2
a7b3a19f-0ab0-4b45-8ac9-b11055074fe5,Natalie Walton,Google LLC (Alphabet Inc.),nataliewalton@gmail.com,(412) 123-4567,Summit Ridge Institute,,,,,,23513618.pdf,LinkedIn,2019-09-13 01:46:33,2019-09-20 02:03:17,Software Engineer,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,320c0f99-5700-4576-aed7-3f7633db94b7
e2b13a8a-1114-4150-94e0-3c906a560a1c,Alexia Wise,,alexiawise@gmail.com,,Crestwood University,,,,,,23636277.pdf,LinkedIn,2019-09-13 18:25:29,2019-09-16 18:43:02,Software Engineer,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,7a34a5b8-b5d3-401d-9a9e-158b56bc1c42
143e566d-2ff7-42b5-8914-b65c1e98d6ce,Chris Moreno,,chrismoreno@gmail.com,(202) 901-2345,,,,,,,23734441.pdf,LinkedIn,2019-09-14 06:08:11,2019-09-27 10:08:11,Software Engineer,Engineering,NYC,Failed background check,Background Check,,,,Failed background check,,,63b09842-c206-4700-8ab1-26a110a5db3b
99a7b230-1af7-4360-8a3f-e998bb0289b7,Anoushka,"Facebook, Inc. (Meta)",anoushka@gmail.com,(415) 012-3456,,6060 Aspen Parkway,New York,NY,10001,,24103168.pdf,Indeed,2019-09-14 15:37:18,2019-09-19 15:57:18,Software Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,1f1e4d57-84e5-47c5-9ca4-0d12159896ae
141d4227-23cc-44f9-9d69-15713b42a53c,Miriam Marks,Nike,miriammarks@gmail,,,7070 Palm Street,Los Angeles,CA,90001,,24294778.pdf,Indeed,2019-09-15 04:17:57,2019-09-30 04:35:17,Data Engineer,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,61d859b4-cd74-4b51-bd29-b3fead258ed2
9b7a0cac-0af5-4530-9a83-7596486c6ab2,Laura Morgan,,lauramorgan@gmail.com,,,,,,,,24703009.pdf,Indeed,2019-09-15 19:02:24,2019-09-23 19:19:20,Data Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,bfc8b697-d10e-4601-9b94-ea623221bc2b
5b1ff9c9-4e5b-4d06-9a54-3f89214b525e,Robert Curtis,,,(503) 123-6789,,,,,,,24799301.pdf,Indeed,2019-09-16 11:18:09,2019-09-28 12:04:36,Software Engineer,Engineering,NYC,Underqualified,Panel Interview,,,,Underqualified,,,c7122495-171b-4697-9a90-e4b2e7f5b4ca
acd96026-20da-4627-af53-ec25809e2c20,Siobhan Blair,Samsung Electronics,siobhanblair@gmail.com,,Lakeview College of Arts,8080 Maplewood Lane,Houston,TX,77001,linkedin.com/anoushka,24817041.pdf,Indeed,2019-09-16 20:40:33,2019-09-28 20:58:06,Data Engineer,Engineering,NYC,Withdrew,Panel Interview,,,,Withdrew,,,82fa34a2-6025-4681-b539-53102a10e2f2
e25f1164-1759-4aaa-8874-f7648e1a4214,Erica,The Walt Disney Company,erica@gmail.com,,Redwood Valley University,9090 Oak Ridge,Phoenix,AZ,85001,linkedin.com/miriammarks,25067742.pdf,Indeed,2019-09-17 06:29:44,2019-09-28 06:52:35,Data Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,dc40b73b-6171-4c0e-bff6-7e8a9b4cd027
5c4ad407-791f-45c3-bc97-716063834756,Michael Bean,,michaelbean@gmail.com,(210) 234-8901,,,,,,,25127518.pdf,Indeed,2019-09-17 14:13:57,2019-09-23 14:44:35,Data Engineer,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,55c26a23-78b1-4ff1-b632-c5d54c9078b6
e7a0fcf6-6ab6-4507-bc3a-1bbfef0798d4,Ayrton Blackwell,,,4243459012,,,,,,,25462793.pdf,Indeed,2019-09-18 07:57:38,2019-09-29 08:17:38,Data Engineer,Engineering,NYC,Work schedule,Hiring Manager Interview,,,,Work schedule,,,85d5fdc1-f8f4-4f39-b4b5-0f290ed1c84b
040e1410-ba63-45ee-94b5-ec30c526ffb6,Jude Jackson,Johnson & Johnson,judejackson@gmail.com,818456-0123,,,,,,,25547145.pdf,Indeed,2019-09-18 19:51:25,2019-10-01 20:15:25,Data Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,7e1d6c52-4f10-400d-a52b-7bc9b8d35fe5
7809c192-bbec-4064-9d67-daa907f6a9e8,Sarah Ellis,Intel Corporation,sarahellis@gmail.com,,,,,,,,25749150.pdf,Indeed,2019-09-19 04:22:01,2019-10-02 04:46:01,Data Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,94101b72-3b1b-471b-b3a7-cc8efc65db3a
53fd61ab-7dcf-48a2-af81-d3fa405f8a1b,Kian Buckley,,kianbuckley@gmail.com,,,,,,,,25846894.pdf,Referral,2019-09-16 11:18:09,2019-09-30 11:18:09,Data Engineer,Engineering,San Francisco,Conflict of interest,New lead,,,,Conflict of interest,,,7b9de1d4-52a0-4e85-b784-7683e8b4a1b2
1146fdc7-f5fa-45bf-94a1-fd1f21373767,Glenn Franklin,,glennfranklin@gmail.com,(907) 567-1234,,,,,,,25862026.pdf,Referral,2019-09-16 20:40:33,,Data Engineer,Engineering,San Francisco,Hired,Offer,2019-09-19 20:40:33,2019-09-20 00:00:00,,Hired,,,2b22195f-d68f-40a3-93ec-d00ac45b66be
6080734b-3569-4371-9428-1a8020100efe,Thea Vaughn,,theavaughn@gmail.com,(626) 234-9012,,,,,,linkedin.com/judejackson,25867805.pdf,Referral,2019-09-17 06:29:44,2019-09-20 06:46:52,Data Engineer,Engineering,San Francisco,Underqualified,New lead,,,,Underqualified,,,65bfae3f-3c8a-47a0-92d9-9fae354370b4
f240b202-0965-4567-99db-802bdfeb78e1,Alisa Terry,,alisaterry@gmail.com,(631) 678-2345,,,,,,linkedin.com/sarahellis,25935030.pdf,Referral,2019-09-17 14:13:57,2019-09-20 14:46:40,Data Engineer,Engineering,San Francisco,Failed background check,Background Check,,,,Failed background check,,,f68f83a7-dc0c-45d3-82f9-d70f58bc6f9e
be7cafde-1fe8-4fdf-941d-9e066e5f6904,Scarlett Hess,IBM Corporation,scarletthess@gmail.com,,,,,,,linkedin.com/kianbuckley,26065877.pdf,Referral,2019-09-18 07:57:38,2019-09-29 08:28:16,Data Engineer,Engineering,San Francisco,Underqualified,New lead,,,,Underqualified,,,0ed956a9-c586-40c0-b6e0-8a7c6eb6e5d3
94cb2da8-a4e9-4f5c-bdc0-cc8d1eadbfdd,Kate B,"PepsiCo, Inc.",kateb@gmail.com,(321) 789-3456,,,,,,linkedin.com/glennfranklin,26975573.pdf,Referral,2019-09-18 19:51:25,2019-09-28 20:12:54,Data Engineer,Engineering,San Francisco,Underqualified,Hiring Manager Interview,,,,Underqualified,,,51a5cd28-1293-43e7-9cd3-fdb8d68e3a56
8afe6f32-2bb0-40d1-a533-4c3b22caa600,Vinny Odling,Toyota Motor Corporation,vinnyodling@gmail.com,,,,,,,,27558837.pdf,Referral,2019-09-19 04:22:01,2019-10-04 04:37:50,Data Engineer,Engineering,San Francisco,Underqualified,Hiring Manager Interview,,,,Underqualified,,,b3d4b5fd-18b6-4119-8914-b96d8b7c8b9f
f44a6bc7-dbe4-4996-a864-a3cb008ecd30,Maia Pearce,,maiapearce@gmail,(503) 890-4567,,,,,,,27573855.pdf,Indeed,2019-09-19 12:34:46,2019-10-01 13:37:22,Data Engineer,Engineering,San Francisco,Underqualified,New lead,,,,Underqualified,,,0c118c59-79c7-47c5-b0d4-ada8d8c4ef8d
9ed13017-0f1a-4ab1-95d2-9ab538401769,Roberta Newton,,,,,,,,,,,Referral,2019-09-20 10:47:53,2019-09-27 11:06:20,Data Engineer,Engineering,San Francisco,Withdrew,Panel Interview,,,,Withdrew,,,b174ab0e-53a5-4877-b6a4-37dbf26bc0ae
b176b04f-8ae8-4dd6-b710-e3ff18d002c5,Alejandro Meadows,,alejandromeadows@gmail.com,(718) 901-5678,,,,,,,27980446.pdf,Indeed,2019-09-20 18:19:14,2019-09-30 18:40:06,Data Analyst,Engineering,San Francisco,Withdrew,New lead,,,,Withdrew,,,b4299cc7-563e-4764-b43f-e1b3e2de587d
f4190ad9-dfa7-4e71-b205-11ad04200e25,Mikayla Salazar,,mikaylasalazar@gmail.com,,,,San Francisco,CA,94101,linkedin.com/vinnyodling,28298773.pdf,Referral,2019-09-21 03:05:29,2019-09-26 03:45:29,Data Analyst,Engineering,San Francisco,Underqualified,Hiring Manager Interview,,,,Underqualified,,,515da2fc-bda7-47d0-97e2-25c47e32b419
25b28ba5-a889-4381-acdf-4439eae318b9,Sian Horn,,sianhorn@gmail.com,(619) 012-6789,,,,,,linkedin.com/maiapearce,28359817.pdf,Referral,2019-09-21 16:58:10,2019-09-28 00:58:10,Data Analyst,Engineering,San Francisco,Underqualified,Hiring Manager Interview,,,,Underqualified,,,b0b39555-bd7b-4c0f-9113-3143a28be0f5
4cf57caa-c898-4be6-b74c-2e27bcf2ef5a,Dillan Tate,,,(818) 345-6789,,,Nashville,TN,,,28614791.pdf,Referral,2019-09-22 08:24:11,2019-09-30 10:07:02,Data Analyst,Engineering,San Francisco,Underqualified,Hiring Manager Interview,,,,Underqualified,,,3e79b2c0-5a4b-455d-9c55-b32e88e0d4c9
60077f0b-764c-4e57-891a-bfd606f70125,Stefan Schwartz,,stefanschwartz@gmail.com,(617) 123-7890,,,,,,,28939941.pdf,Indeed,2019-09-22 17:32:47,2019-09-24 18:12:47,Data Analyst,Engineering,San Francisco,Underqualified,New lead,,,,Underqualified,,,e03b5ab3-828b-47a4-89e1-3b9a0ef5ed7f
b680eeb6-a878-42ed-9630-1e3def578295,Rhianna Lopez,Coca-Cola Company,rhiannalopez@gmail.com,,Silverstone Institute of Technology,,,,28201,,28969385.pdf,Referral,2019-09-23 09:51:30,2019-10-06 11:16:12,Data Analyst,Engineering,San Francisco,Underqualified,Panel Interview,,,,Underqualified,,,36c2a04a-0d80-4cfe-b4e4-e56b87d0cdb0
6e15bbc9-2dce-493b-96ad-6002cad3045f,Elinor Keller,,elinorkeller@gmail.com,,Maple Grove College,,,,,,29050809.pdf,Referral,2019-09-23 23:25:08,2019-09-29 23:45:42,Data Analyst,Engineering,San Francisco,Underqualified,Panel Interview,,,,Underqualified,,,1b28d33d-e9fc-4638-a1b5-dba55901573d
ba808fb1-6e58-4b1a-969f-bae018bc5ab5,Elsa Nunez,,elsanunez@gmail.com,,,,Dallas,,,,29456173.pdf,LinkedIn,2019-09-24 12:03:59,2019-10-03 12:20:09,Data Analyst,Engineering,San Francisco,Work schedule,Panel Interview,,,,Work schedule,,,77c9601f-d6fd-46b4-b3cf-6a9fe1d61bdb
9fba34d6-0553-4152-963d-97a4612c9fcd,Krishan Bruce,,krishanbruce@gmail.com,(213) 345-0123,Horizon Pines University,,,,,,29821051.pdf,LinkedIn,2019-10-01 04:32:50,2019-10-08 04:59:30,Data Analyst,Engineering,San Francisco,Underqualified,New lead,,,,Underqualified,,,1b0f4827-bd6b-4021-9fa1-13b42d66be58
e2b13a8a-1114-4150-94e0-3c906a560a1c,Alexia Wise,,alexiawise@gmail.com,,Crestwood University,,,,,,23636277.pdf,LinkedIn,2019-10-01 12:47:21,2019-10-13 13:05:48,Data Analyst,Engineering,San Francisco,Underqualified,New lead,,,,Underqualified,,,33ff9ab1-76bb-4a3a-b5c2-153b263cd42c
ce8988ef-d8d5-406f-9930-4d5565e26f9e,Shauna Rose,Microsoft Corporation,shaunarose@gmail.com,(303) 567-8901,,,,,,linkedin.com/elmertownsend,22925443.pdf,LinkedIn,2019-10-01 14:52:20,2019-10-14 15:07:59,Data Analyst,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,a064bf7b-f45b-4ea2-b2a6-f50988ab72b1
84ca14b8-ef2b-45c1-be8f-030a80eec39f,Katrina Castillo,,katrinacastillo@gmail.com,(415) 456-1234,,,,,,,30304575.pdf,LinkedIn,2019-10-02 07:13:34,2019-10-03 07:28:24,Data Analyst,Engineering,San Francisco,Underqualified,Hiring Manager Interview,,,,Underqualified,,,c7b7f7b8-385d-4659-b9e9-b3d70ef7bc5e
3ddb5c66-ea6a-43f0-b018-dfea86a7d1df,Camilla Calhoun,,camillacalhoun@gmail.com,,,,,,,,30361788.pdf,Referral,2019-10-02 20:39:12,2019-10-08 21:39:12,Data Analyst,Engineering,San Francisco,Underqualified,New lead,,,,Underqualified,,,f7fdd7f5-b73b-4cfc-a006-85b8de69f27f
908eb9b9-daf3-4d55-91a6-0025514e655e,Oakley Bailey,,oakleybailey@gmail.com,(562) 567-2345,,,,,,,30813919.pdf,Referral,2019-10-03 05:58:28,,Data Analyst,Engineering,San Francisco,Hired,Offer,2019-10-15 05:58:28,2019-10-30 00:00:00,,Hired,,,70b7a4c7-900e-4651-b4b2-1fd242ee2d3b
695241d6-f72b-475c-8a2f-827e72b7fb22,Louisa Henderson,,louisahenderson@gmail.com,,,,,,,,31602598.pdf,Referral,2019-10-03 16:04:09,2019-10-09 16:20:09,Data Analyst,Engineering,San Francisco,Withdrew,Offer,,2019-10-30 00:00:00,,Withdrew,,,d94f91b6-e658-47a4-b5cd-35d9d4c2e799
762799a3-acb0-4952-b212-cd3d33315b86,Kaitlyn Gonzales,,kaitlyngonzales@gmail.com,(951) 678-3456,,,,,,,,Referral,2019-10-04 03:26:17,2019-10-13 05:09:08,Data Analyst,Engineering,San Francisco,Withdrew,Panel Interview,,,,Withdrew,,,86b7a983-b03c-4768-8e1f-2fa2b251ed11
